INDEX,KR,EN
133,"그럼, 작업에 필요한 도구와 장비를 확인해 볼까요?<n>테이블 위 도구에 마우스를 올리시면 자세한 설명을 확인하실 수 있습니다.<n>확인을 마치셨다면 우측 하단의 ‘다음’ 버튼을 눌러 실습을 진행해 주세요.","Then, shall we check the tools and equipment necessary for the work?"
134,"프린터를 조작하려면 프린터와 컴퓨터가 연결되어 있어야 합니다.<n>지금 보고 계신 것은 실습실 내 컴퓨터 모니터 화면으로, 프린터와 컴퓨터를 연결해 보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.","Next, let's connect the computer and printer."
135,컴퓨터에서 [프린터 컴퓨터 연결] 버튼을 클릭해주세요.,Double-click the'Connect Printer Computer' button on your computer.
136,"정상적으로 프린터가 컴퓨터에 연결되었습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.",The printer is connected to the computer normally.
137,"프린터와 컴퓨터가 연결되어 화면이 바뀌었습니다.<n>이제 컴퓨터에서 프린터 상태를 확인하실 수 있습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.",You can now check the printer status on your computer.
138,"프린팅을 지시하기 전, 먼저 프린터가 프린팅을 수행할 수 있는 상태인지 확인해 보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.","Before instructing to print, let's use a computer to make sure the printer is ready to print."
139,[프린터 상태 보기] 버튼을 클릭해 주세요.,Double-click the'View Printer Status' icon.
140,지금 보고 계신 것은 프린터 인터페이스입니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,What you're looking at is the printer interface.
141,"프린터 인터페이스에서는 프린터 헤드의 온도와 폐기물 용기의 잔량, 진공과 히터 등의 상태를 확인하실 수 있습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.","From the printer interface, you can check the printer head temperature, the remaining amount of the waste container, and the status of the vacuum and heater."
142,마우스를 움직여 각 항목이 무엇을 나타내는지 확인해보세요.,Move your mouse to see what each item represents.
143,"그런데, 현재 헤드 온도가 프린팅을 수행하기에 적절하지 않은 온도라 붉은 색으로 표시되어 있습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.","However, the current head temperature is indicated in red because it is not suitable for printing."
144,적절한 온도가 될 때까지 기다려보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Let’s wait until it reaches the right temperature.
145,붉은색으로 표시된 부분을 클릭해 주세요.,Please click the area marked in red.
146,헤드 온도가 정상범위로 변경되었습니다.<n>헤드 온도의 정상범위는 70~90℃ 사이입니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,The head temperature has been changed to the normal range.
147,이제 재료 상태를 확인해보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Now let’s check the material status.
148,프린터 인터페이스의 토글 버튼을 눌러주세요.,Press the toggle button on the printer interface.
149,토글된 화면에서는 프린터 재료의 잔량을 확인하실 수 있습니다. 현재 모든 재료가 충분한 상태입니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,"On the toggled screen, you can check the remaining amount of printer material. All ingredients are currently in sufficient condition."
150,"프린터가 정상적으로 프린팅이 가능한 상태임을 확인하였으니, 이제 슬라이싱 작업에 대해 알아보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.","Now that we have verified that the printer is in a normal printing state, let’s look at the slicing operation."
151,프린터 인터페이스 우측 상단의 X 표시를 눌러 프린터 인터페이스를 닫아주세요.,Close the printer interface by clicking the X mark on the upper right of the printer interface.
152,"슬라이싱이란, 3D 모델링 파일을 프린터가 프린팅에 사용할 수 있는 데이터로 변환하는 작업을 말합니다.<n>변환된 데이터를 지코드(G-Code)라고 하는데, 이 지코드에는 적층 두께나 내부 채움 비율 등의 정보가 들어있습니다.<n>컴퓨터 모니터에서 [슬라이서] 아이콘을 클릭해  슬라이서 프로그램을 실행시켜보겠습니다.","Slicing refers to the process of converting 3D modeling files into data that can be used by the printer for printing.<n>The converted data is called G-Code, which includes stacking thickness and internal filling ratio. <n>I will run the slicer program by double-clicking the'slicer' icon on the computer monitor."
153,슬라이서 좌측 상단의 [모델 불러오기] 버튼을 클릭해 주세요.,Click the'Load Model' button at the top left of the slicer.
154,스패너 모양의 EX1. STL 모델을 선택한 뒤 불러옵니다.,Spanner-shaped EX1. Load the STL model.
155,"[모델 불러오기]를 클릭한 뒤, EX1.STL(스패너)를 클릭합니다.",Click'Load Model' and then click EX1.STL (spanner).//None
156,화면의 직사각형 영역은 실제로 프린팅이 진행되는 빌드트레이 영역을 나타냅니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,The rectangular area on the screen represents the build tray area where printing is actually done.
157,"먼저, [이동] 버튼과 [회전] 버튼을 클릭해 모델을 빌드트레이 범위 내로 위치시켜보세요.","First, click the ‘Move’ button and the ‘Rotate’ button to place the model within the build tray."
158,"프린팅에 소요되는 시간을 단축하고 재료를 효율적으로 사용하려면, 모델을 빌드트레이 범위 내에 올바르게 배치해야 합니다.<n>화면을 기준으로 모델이 좌측의 기계원점에 근접해있고 프린터 헤드가 바라보는 방향으로 정렬이 되어있을 때가 가장 적합하게 배치된 상태입니다.","In order to shorten the time it takes to print and to use materials efficiently, the model must be properly placed within the build tray."
159,"[모델뷰] 버튼을 클릭해 시점을 바꾸어가면서 모델을 배치하고, [배치 오류 확인] 버튼을 클릭해서 모델이 올바르게 배치되었는지 여부를 확인해 보세요.","Click the Model View button to place the model while changing viewpoints, and click the ‘Check for placement errors’ button to check whether the model is placed correctly."
160,"배치가 올바르게 되지 않았을 때는 모델이 붉게 표시되고, 올바르게 되었을 때는 초록색으로 표시됩니다.<n>올바르게 배치한 뒤, 다음 버튼을 눌러 학습을 진행해 주세요.","If the model is not positioned correctly, it is displayed in red."
161,"모델이 올바르게 배치되었습니다. 그럼 이제 내부 채움 옵션에 대해서 알아보겠습니다.<n>내부 채움 옵션은 조형물의 강도에 영향을 미칩니다.<n>속빈, 가볍게, 기본, 무겁게 총 네 가지의 옵션이 있으나, 이번 실습 과정에서는 ‘기본’ 옵션을 사용하겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.","The model is positioned correctly. So now, let’s look at the internal fill options. The <n>Inner Fill option affects the strength of the sculpture. <n>There are four options: Hollow, Light, Basic, and Heavy, but in this lab we will use the'Basic' option."
162,마지막으로 프린팅에 소요되는 예상 시간을 확인해 보겠습니다.<n>[프린팅 시간 계산] 버튼을 클릭해 예상 시간을 확인해 주세요.,"Finally, let's check the estimated time required for printing. <n>Click the'Check Printing Time' button to check the estimated time."
163,슬라이싱 작업이 완료되었습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,The slicing operation is complete.
164,이제 본격적으로 프린팅을 지시해보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,"Now, I will instruct the printing in earnest."
165,"[프린팅] 버튼을 클릭해주세요.",Click the'Print' button.
166,프린팅이 진행되기 전 잠시동안의 워밍업을 진행합니다.<n>워밍업이 끝나면 이어서 프린팅이 진행됩니다.,Printing is in progress and the printer status has changed.
167,"프린팅에는 오랜 시간이 소요되므로, 우측의 빨리감기 버튼을 눌러 프린팅을 완료해보겠습니다.","Printing takes a long time, so I will press the fast forward button on the right to finish printing."
168,프린팅이 완료되길 기다립니다.,A
169,프린팅이 완료되어 프린팅 상태가 완료(Complete)로 바뀌었습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Printing is complete and the printing status has changed to Complete.
170,이제 완성된 조형물을 회수해보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,"Now, let’s retrieve the finished sculpture."
171,프린터 커버를 열어줍니다.,Open the printer cover.
172,"작업테이블에 놓여있는 마스크, 보안경, 장갑을 착용합니다.","Put on the mask, safety glasses and gloves on the worktable."
173,"스크래퍼를 사용하여 조형물을 빌드트레이에서 분리하고, 잔여물을 제거합니다.",Separate the sculpture from the build tray using a scraper and remove the residue.
174,트레이를 청소합니다.,Clean the tray.
175,이동용 받침대를 사용하여 조형물을 워터젯으로 이동합니다.,Move the sculpture to the waterjet using the moving pedestal.
176,이제 조형물에서 잔여물을 제거하는 후처리 과정을 진행해 보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,"Now, let's proceed with the post-processing process to remove the residue from the sculpture."
177,"먼저, 회수한 조형물을 워터젯 내부로 투입 후 잠금장치로 잠궈줍니다.","First, insert the recovered sculpture into the water jet and lock it with a locking device."
178,워터젯의 전원을 켭니다.,Turn on the waterjet.
179,워터젯 방수장갑을 착용합니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Wear waterjet waterproof gloves.
180,왼손으로 조형물을 잡습니다.,Hold the sculpture with your left hand.
181,오른손으로 호스를 잡습니다.,Hold the hose with your right hand.
182,페달(분사 스위치)을 밟아 분사하여 서포트를 제거합니다.,Press the pedal (injection switch) to spray to remove the support.
183,서포트가 제거된 것을 확인합니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Confirm that the support has been removed.
184,워터젯 방수장갑을 벗습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Take off the waterjet waterproof gloves.
185,후처리가 완료된 조형물을 워터젯에서 꺼냅니다.,Take out the post-processed sculpture from the water jet.
186,이제 프린터 헤드를 청소해 보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Now let's clean the print head.
187,"헤드 청소 중에는 마스크와 보안경, 장갑을 착용해야 합니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.","Wear a mask, safety glasses and gloves."
188,프린터 컴퓨터에서 [헤드청소] 버튼을 클릭하세요.,Perform a maintenance-'head cleaning' command on the printer computer.
189,트레이가 비어있는지 확인하라는 메시지가 표시됩니다.<n>조형물을 회수했으므로 현재 트레이는 비어있는 상태입니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,You are prompted to close the cover. Close the cover and click the OK button.
190,"다음으로, 프린터 커버를 닫으라는 메시지가 표시됩니다. 현재 프린터 커버가 열려있으므로 닫아줍니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.",You are prompted to confirm that the tray is empty. Close the tray and click the OK button.
191,"다음으로, 프린터 커버를 닫으라는 메시지가 표시됩니다.<n>현재 프린터 커버가 열려있으므로 닫아줍니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.",Please click the'Next' button.
192,"트레이가 하강하고, 헤드가 청소위치로 이동합니다.<n>이제 프린터 커버를 열어줍니다.",The tray is lowered and the head moves to the cleaning position.
193,거울을 트레이에 위치하여 헤드 안쪽을 볼 수 있도록 합니다.,Place the mirror on the tray so you can see inside the head.
194,면 타올에 알코올을 수 회 분사합니다.,Spray alcohol several times on the cotton towel.
195,헤드를 면 타올로 닦아냅니다.,Wipe the head with a cotton towel.
196,트레이 및 프린터 블록이 원점으로 복귀합니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Click the'Next' button. The tray and printer block return to the origin.
197,헤드 청소를 완료하였습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Head cleaning is complete.
198,"마지막으로, 재료 상태를 확인하고 소모된 재료를 보충해보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.","Finally, let's check the material status and replenish the consumed material."
199,컴퓨터에서 [프린터 상태 보기] 버튼을 클릭하여 재료 상태를 확인해 주세요.,Double-click'View Printer Status' on your computer to check the material status.
200,모델 재료 및 서포트 재료가 충분하지 않습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Insufficient model material and support material.
201,모델 재료와 서포트 재료를 재료 보관함에 투입해 보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Let's put the model material and support material into the material storage box.
202,"프린터 옆에 위치한 재료보관함의 커버를 열어 소모된 재료를 제거합니다.<n>이 때, 재료 번호를 반드시 확인해주세요.",Remove the used material by opening the cover of the material storage box located next to the printer.
203,"다음으로, 새 재료를 장착합니다.","Next, mount the new material."
204,프린터 컴퓨터의 모델 재료와 서포트 재료 상태가 업데이트 되었습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,The model material and support material status of the printer computer have been updated.
205,재료 보충이 완료되었습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,Material replenishment is complete.
206,재료분사프린터 실습을 완료하였습니다.<n>수고하셨습니다.,You have completed the material injection printer practice. Thank you.
