INDEX,KR,EN
49,빌드 플랫폼을 포크의 홈에 경사지게 기울여 놓습니다.,No Translation48
50,수 분간(약 5분) 방치하며 남은 재료가 배출되도록 합니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation49
51,빌드 플랫폼을 꺼내어 작업 테이블에 올려놓습니다.,No Translation50
52,회수한 조형물에서 필요 없는 부분을 제거해보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation51
53,스크래퍼를 이용하여 빌드플랫폼에서 조형물을 조심스럽게 긁어 떼어냅니다.,No Translation52
54,조형물을 세척용 천으로 가볍게 닦아냅니다.,No Translation53
55,조형물을 경화 장치에서 수 십분(30분) 경화합니다.,No Translation54
56,클리퍼를 이용하여 경화된 조형물에서 서포트를 제거합니다.,No Translation55
57,"사포, 줄, 전동그라인더 등을 이용하여 표면을 갈아냅니다.",No Translation56
58,에탄올과 브러쉬를 이용하여 표면을 정리합니다.,No Translation57
59,실습을 완료하였습니다.<n>수고하셨습니다.,No Translation58
